Player,Team,Opponent,Game Date,Best Book,Best Odds,Median Market Odds,Books Quoting,Best Implied Probability,Median Market Implied Probability,Probability-Price Difference,Quote Age,Status
Olamide Zaccheaus,ATL,CAR,2026-09-20,betmgm,850,687.5,8,0.10526315789473684,0.12698412698412698,0.02172096908939014,1.9671282166666666,OK
Tre Tucker,LV,LAC,2026-09-20,betrivers,335,297.5,8,0.2298850574712644,0.25157232704402516,0.021687269572760765,2.2622729,OK
Jacory Croskey-Merritt,WAS,DAL,2026-09-20,betrivers,120,110.00000000000001,8,0.45454545454545453,0.47619047619047616,0.021645021645021634,3.2652496166666665,OK
Rhamondre Stevenson,NE,PIT,2026-09-20,fanatics,115,105.49999999999997,8,0.46511627906976744,0.4866180048661801,0.021501725796412685,1.0581373,OK
David Montgomery,HOU,CIN,2026-09-20,betmgm,-135,-147.45762711864407,8,0.574468085106383,0.5958904109589042,0.02142232585252113,1.68743255,OK
Austin Hooper,ATL,CAR,2026-09-20,fanatics,1700,1200.0,7,0.05555555555555555,0.07692307692307693,0.021367521367521375,1.9671282166666666,PRICE_OUTLIER
Drew Sample,CIN,HOU,2026-09-20,fanatics,1700,1200.0,8,0.05555555555555555,0.07692307692307693,0.021367521367521375,1.68743255,PRICE_OUTLIER
Bryce Lance,NO,BAL,2026-09-20,fanduel,900,725.0,8,0.1,0.12121212121212122,0.02121212121212121,0.8682415833333333,OK
Bryce Young,CAR,ATL,2026-09-20,fanatics,475,412.5,8,0.17391304347826086,0.1951219512195122,0.021208907741251337,1.9671282166666666,OK
Patrick Mahomes,KC,IND,2026-09-20,betmgm,340,302.50000000000006,8,0.22727272727272727,0.24844720496894407,0.021174477696216804,3.2686915,OK
Tory Horton,SEA,ARI,2026-09-20,betmgm,1050,825.0,8,0.08695652173913043,0.10810810810810811,0.021151586368977682,2.24694255,OK
Michael Pittman Jr.,PIT,NE,2026-09-20,fanatics,500,432.5,8,0.16666666666666666,0.18779342723004694,0.02112676056338028,1.0581373,OK
San Francisco 49ers D/ST,,,2026-09-20,bovada,600,509.99999999999994,4,0.14285714285714285,0.1639344262295082,0.021077283372365363,2.216832666666667,TEAM_UNKNOWN
Laquon Treadwell,IND,KC,2026-09-20,fanatics,2200,1450.0,8,0.043478260869565216,0.06451612903225806,0.021037868162692847,3.2686915,PRICE_OUTLIER
Matthew Hibner,BAL,NO,2026-09-20,fanatics,2200,1450.0,8,0.043478260869565216,0.06451612903225806,0.021037868162692847,0.8682415833333333,PRICE_OUTLIER
Ben Sinnott,WAS,DAL,2026-09-20,fanatics,1500,1100.0,8,0.0625,0.08333333333333333,0.02083333333333333,3.2652496166666665,PRICE_OUTLIER
John Metchie III,CAR,ATL,2026-09-20,fanatics,1500,1100.0,7,0.0625,0.08333333333333333,0.02083333333333333,1.9671282166666666,PRICE_OUTLIER
Zavion Thomas,CHI,MIN,2026-09-20,fanatics,1500,1100.0,5,0.0625,0.08333333333333333,0.02083333333333333,1.16942855,PRICE_OUTLIER
Chris Olave,NO,BAL,2026-09-20,fanatics,200,182.50000000000003,8,0.3333333333333333,0.35398230088495575,0.020648967551622432,0.8682415833333333,OK
Dareke Young,LV,LAC,2026-09-20,betrivers,5500,2500.0,3,0.017857142857142856,0.038461538461538464,0.020604395604395608,0.8289395666666667,PRICE_OUTLIER
Daniel Jones,IND,KC,2026-09-20,betrivers,650,550.0,8,0.13333333333333333,0.15384615384615385,0.020512820512820523,3.2686915,OK
Devontez Walker,BAL,NO,2026-09-20,fanatics,650,550.0,7,0.13333333333333333,0.15384615384615385,0.020512820512820523,0.8682415833333333,OK
Tommy Tremble,CAR,ATL,2026-09-20,fanatics,650,550.0,8,0.13333333333333333,0.15384615384615385,0.020512820512820523,1.9671282166666666,OK
Washington Commanders D/ST,,,2026-09-20,fanatics,650,550.0,3,0.13333333333333333,0.15384615384615385,0.020512820512820523,2.2319162833333333,TEAM_UNKNOWN
Andrei Iosivas,CIN,HOU,2026-09-20,betrivers,700,587.5,8,0.125,0.14545454545454545,0.020454545454545447,1.68743255,OK
Chris Moore,BAL,NO,2026-09-20,betrivers,700,587.5,6,0.125,0.14545454545454545,0.020454545454545447,0.8682415833333333,OK
Josh Cuevas,BAL,NO,2026-09-20,betrivers,2500,1600.0,8,0.038461538461538464,0.058823529411764705,0.02036199095022624,0.8682415833333333,PRICE_OUTLIER
Jonnu Smith,GB,NYJ,2026-09-20,fanatics,750,625.0,7,0.11764705882352941,0.13793103448275862,0.02028397565922921,2.2233642500000004,OK
Justice Hill,BAL,NO,2026-09-20,fanatics,500,434.99999999999994,8,0.16666666666666666,0.1869158878504673,0.020249221183800653,0.8682415833333333,OK
