season,game,event_id,prediction_time,sportsbook,player,normalized_player,price,quote_time,quote_age_minutes
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Chris Evans,chrisevans,1200,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Cincinnati Defense,cincinnatidefense,650,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,CIN Defense/Special Teams,cindefensespecialteams,650,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Daryl Worley,darylworley,10000,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,David Ojabo,davidojabo,15000,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Dax Hill,daxhill,2500,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,barstool,Devin Duvernay,devinduvernay,1200,2023-09-17T15:54:45+00:00,5.25
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Devin Duvernay,devinduvernay,550,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Devin Duvernay,devinduvernay,1700,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Devin Duvernay,devinduvernay,1000,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Devin Duvernay,devinduvernay,2500,2023-09-17T15:55:32+00:00,4.466666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,fanduel,Devin Duvernay,devinduvernay,1200,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,unibet_us,Devin Duvernay,devinduvernay,1700,2023-09-17T15:51:25+00:00,8.583333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,Devin Duvernay,devinduvernay,1000,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,D.J. Reader,djreader,7500,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,williamhill_us,DJ Turner II,djturner,4500,2023-09-17T15:53:58+00:00,6.033333333333333
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,barstool,Drew Sample,drewsample,1500,2023-09-17T15:54:45+00:00,5.25
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betmgm,Drew Sample,drewsample,900,2023-09-17T15:54:20+00:00,5.666666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,betrivers,Drew Sample,drewsample,1050,2023-09-17T15:52:47+00:00,7.216666666666667
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,bovada,Drew Sample,drewsample,800,2023-09-17T15:52:49+00:00,7.183333333333334
2023,2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,2023-09-17T16:00:00+00:00,draftkings,Drew Sample,drewsample,1600,2023-09-17T15:55:32+00:00,4.466666666666667
