Player,Team,Opponent,Game Date,Prop,Sportsbook Line,Model Mean,Distribution Method,P(Over),P(Under),P(Push),Best Over Odds,Best Under Odds,Market No-Vig P(Over),Median Over Odds,Median Under Odds,Books Quoting,Model Minus Market,Quote Age,Quote Timestamp,Confidence / Data Quality Flag
T.J. Hockenson,MIN,CHI,2026-09-20,receptions,3.5,4.171372476096786,negative_binomial,0.43064606707441794,0.5693539329255821,0.0,105,-113,0.4969046636401156,-112.00000000000001,-115.00000000000001,5,-0.06625859656569766,1.3095429666666665,2026-09-17T19:43:59+00:00,MODEL LEANS UNDER
Terry McLaurin,WAS,DAL,2026-09-20,receptions,4.5,4.380424403092296,negative_binomial,0.3624135901719099,0.6375864098280901,0.0,123,-150,0.4266268260292164,120.00000000000001,-157.00000000000003,3,-0.06421323585730654,0.9595429666666667,2026-09-17T19:43:12+00:00,MODEL LEANS UNDER
Rashid Shaheed,SEA,ARI,2026-09-20,receptions,2.5,3.2311526229820355,negative_binomial,0.45328289978719755,0.5467171002128024,0.0,152,-178,0.38995689950058143,141.0,-185.0,3,0.06332600028661611,0.7262096333333333,2026-09-17T19:44:04+00:00,TEAM_CHANGE|MODEL LEANS OVER
Romeo Doubs,NE,PIT,2026-09-20,receptions,3.5,3.805055099893096,negative_binomial,0.3993495130289834,0.6006504869710166,0.0,115,-130,0.4622571920334399,102.49999999999999,-135.0,6,-0.06290767900445648,1.1928762999999998,2026-09-17T19:43:39+00:00,TEAM_CHANGE|MODEL LEANS UNDER
Jake Ferguson,DAL,WAS,2026-09-20,receptions,3.5,3.841305766351767,negative_binomial,0.4025761943998505,0.5974238056001495,0.0,108,-130,0.46322988528598974,103.00000000000003,-133.0,3,-0.060653690886139255,1.1595429666666666,2026-09-17T19:43:12+00:00,MODEL LEANS UNDER
Marvin Harrison Jr.,ARI,SEA,2026-09-20,receptions,2.5,4.069618858530329,negative_binomial,0.5278260510500016,0.4721739489499984,0.0,-162,133,0.5856461574544602,-165.00000000000003,127.0,3,-0.05782010640445867,0.7262096333333333,2026-09-17T19:43:26+00:00,MODEL LEANS UNDER
Deebo Samuel,SF,MIA,2026-09-20,receptions,3.5,3.221540311624803,negative_binomial,0.34314702007887,0.6568529799211301,0.0,137,-140,0.4007285974499089,135.0,-175.0,3,-0.05758157737103892,0.4928763,2026-09-17T19:43:40+00:00,MODEL LEANS UNDER
Khalil Shakir,BUF,DET,2026-09-17,receptions,4.5,4.517170279662873,negative_binomial,0.3730631925364346,0.6269368074635654,0.0,121,-150,0.42723631508678234,120.00000000000001,-156.0,5,-0.05417312255034773,1.2262096333333332,2026-09-17T19:44:03+00:00,MODEL LEANS UNDER
Cole Kmet,CHI,MIN,2026-09-20,receptions,1.5,1.9035526977973625,negative_binomial,0.4368017152960291,0.5631982847039709,0.0,100,-117,0.49029405460435743,-109.49771689497717,-118.99159663865545,4,-0.05349233930832831,1.3095429666666665,2026-09-17T19:43:59+00:00,MODEL LEANS UNDER
Cooper Kupp,SEA,ARI,2026-09-20,receptions,2.5,3.595033611082801,negative_binomial,0.4880656496944262,0.5119343503055738,0.0,124,-145,0.43734082725915513,114.99999999999999,-149.00000000000003,3,0.050724822435271044,0.7262096333333333,2026-09-17T19:44:04+00:00,TEAM_CHANGE|MODEL LEANS OVER
