event_id,game,player,sportsbook,american_odds,quote_time,snapshot_time,prediction_time
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Pittsburgh Steelers D/ST,fanatics,400,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Kyle Pitts,fanatics,420,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Drake London,fanatics,300,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Bijan Robinson,fanatics,-125,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Atlanta Falcons D/ST,fanatics,600,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Germie Bernard,fanatics,750,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Michael Pittman Jr.,fanatics,240,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Rico Dowdle,fanatics,140,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Olamide Zaccheaus,fanatics,1050,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Brian Robinson Jr.,fanatics,475,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Austin Hooper,fanatics,1200,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Zachariah Branch,fanatics,1300,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Jahan Dotson,fanatics,800,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Roman Wilson,fanatics,800,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Kaden Wetjen,fanatics,1300,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Aaron Rodgers,fanatics,1700,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Charlie Woerner,fanatics,6000,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Chris Blair,fanatics,2800,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Ben Skowronek,fanatics,1500,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Robert Tonyan,fanatics,1600,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Riley Nowakowski,fanatics,1700,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
95c01d1bb797d6df14824b106c5a9130,ATL@PIT,Eli Heidenreich,fanatics,1300,2026-09-13T15:55:11+00:00,2026-09-13T15:55:36+00:00,2026-09-13T16:00:00+00:00
