Player,Team,Opponent,Best Book,Best Odds,Median Market Odds,Books Quoting,Best Implied Probability,Median Market Implied Probability,Probability-Price Difference,Quote Age,Status
Xavier Worthy,KC,DEN,fanatics,340,275.0,8,0.22727272727272727,0.26666666666666666,0.0393939393939394,1.3475654833333333,OK
Kenneth Walker III,KC,DEN,fanatics,-110,-125.0,8,0.5238095238095238,0.5555555555555556,0.031746031746031744,1.3475654833333333,OK
Marvin Mims Jr.,DEN,KC,betrivers,900,675.0,8,0.1,0.12903225806451613,0.02903225806451612,1.3475654833333333,PRICE_OUTLIER
Rashee Rice,KC,DEN,betrivers,175,154.99999999999997,8,0.36363636363636365,0.3921568627450981,0.028520499108734443,1.3475654833333333,OK
Jonah Coleman,DEN,KC,fanatics,1000,750.0,8,0.09090909090909091,0.11764705882352941,0.0267379679144385,1.3475654833333333,PRICE_OUTLIER
Jaylen Waddle,DEN,KC,fanatics,220,195.00000000000003,8,0.3125,0.3389830508474576,0.026483050847457612,1.3475654833333333,OK
Jalen Royals,KC,DEN,betrivers,1400,1000.0,7,0.06666666666666667,0.09090909090909091,0.024242424242424246,1.21423215,PRICE_OUTLIER
Evan Engram,DEN,KC,fanatics,525,450.0,8,0.16,0.18181818181818182,0.02181818181818182,1.3475654833333333,OK
Courtland Sutton,DEN,KC,fanatics,265,240.0,8,0.273972602739726,0.29411764705882354,0.020145044319097527,1.3475654833333333,OK
Cyrus Allen,KC,DEN,bovada,1100,875.0,8,0.08333333333333333,0.10256410256410256,0.019230769230769232,1.3475654833333333,OK
Tyquan Thornton,KC,DEN,fanduel,600,525.0,8,0.14285714285714285,0.16,0.017142857142857154,1.3475654833333333,OK
Pat Bryant,DEN,KC,betrivers,440,395.0,8,0.18518518518518517,0.20202020202020202,0.01683501683501684,1.3475654833333333,OK
Dallen Bentley,DEN,KC,betrivers,5500,2800.0,7,0.017857142857142856,0.034482758620689655,0.0166256157635468,1.21423215,PRICE_OUTLIER
Adam Trautman,DEN,KC,betmgm,950,800.0,8,0.09523809523809523,0.1111111111111111,0.015873015873015872,1.3475654833333333,OK
Bo Nix,DEN,KC,fanatics,575,525.0,8,0.14814814814814814,0.16,0.011851851851851863,1.3475654833333333,OK
Patrick Mahomes,KC,DEN,fanatics,750,675.0,8,0.11764705882352941,0.12903225806451613,0.011385199240986715,1.3475654833333333,OK
Emmett Johnson,KC,DEN,fanatics,600,550.0,8,0.14285714285714285,0.15384615384615385,0.010989010989011005,1.3475654833333333,OK
Brashard Smith,KC,DEN,bovada,1100,975.0,8,0.08333333333333333,0.09302325581395349,0.009689922480620158,1.3475654833333333,OK
RJ Harvey,DEN,KC,fanatics,310,295.0,8,0.24390243902439027,0.2531645569620253,0.009262117937635012,1.3475654833333333,OK
Lil'Jordan Humphrey,DEN,KC,bovada,1500,1300.0,7,0.0625,0.07142857142857142,0.008928571428571425,1.21423215,OK
Troy Franklin,DEN,KC,betmgm,1300,1150.0,8,0.07142857142857142,0.08,0.008571428571428577,1.3475654833333333,OK
Denver Broncos D/ST,,,bovada,600,562.5,4,0.14285714285714285,0.1509433962264151,0.00808625336927224,1.3475654833333333,TEAM_UNKNOWN
Kansas City Chiefs D/ST,,,betmgm,525,500.0,3,0.16,0.16666666666666666,0.006666666666666654,1.3475654833333333,TEAM_UNKNOWN
Nate Adkins,DEN,KC,betmgm,2200,1900.0,8,0.043478260869565216,0.05,0.006521739130434787,1.3475654833333333,OK
J.K. Dobbins,DEN,KC,bovada,180,176.49999999999997,8,0.35714285714285715,0.36166365280289337,0.004520795660036214,1.3475654833333333,OK
Nikko Remigio,KC,DEN,draftkings,3500,3000.0,7,0.027777777777777776,0.03225806451612903,0.004480286738351255,1.21423215,OK
Jared Wiley,KC,DEN,fanatics,2200,2000.0,7,0.043478260869565216,0.047619047619047616,0.0041407867494824,1.21423215,OK
Jake Briningstool,KC,DEN,betmgm,2200,2050.0,8,0.043478260869565216,0.046511627906976744,0.0030333670374115274,1.3475654833333333,OK
Travis Kelce,KC,DEN,betmgm,210,207.50000000000003,8,0.3225806451612903,0.3252032520325203,0.0026226068712300044,1.3475654833333333,OK
Noah Gray,KC,DEN,betonlineag,1000,975.0,8,0.09090909090909091,0.09302325581395349,0.0021141649048625755,1.3475654833333333,OK
Denver Broncos Defense,,,fanduel,700,,1,0.125,,,0.09756548333333333,INSUFFICIENT_MARKET|TEAM_UNKNOWN
Justin Fields,KC,DEN,williamhill_us,550,,1,0.15384615384615385,,,0.24756548333333334,INSUFFICIENT_MARKET
Kansas City Chiefs Defense,,,fanduel,850,,1,0.10526315789473684,,,0.09756548333333333,INSUFFICIENT_MARKET|TEAM_UNKNOWN
No Scorer,,,fanatics,4000,,1,0.024390243902439025,,,0.39756548333333336,INSUFFICIENT_MARKET|TEAM_UNKNOWN
Tyler Badie,DEN,KC,fanduel,750,,1,0.11764705882352941,,,0.09756548333333333,INSUFFICIENT_MARKET
