game,player_id,position,team,season,anytime_td,p_hierarchical_oof,p_pooled_logistic_oof_raw,p_position_logistic_oof_raw,p_lightgbm_conservative_oof_raw,component_fit_max_season
2023_02_BAL_CIN,00-0031235,WR,BAL,2023,0,0.19485287921802164,0.17228573013561965,0.2770316814820601,0.11474342896866578,2022
2023_02_BAL_CIN,00-0034184,RB,BAL,2023,1,0.1647306172148515,0.09553334455961282,0.12024993150134736,0.11531683199562111,2022
2023_02_BAL_CIN,00-0034796,QB,BAL,2023,0,0.1880424708776286,0.159262579617615,0.19554723513575775,0.13744150547799952,2022
2023_02_BAL_CIN,00-0034975,RB,BAL,2023,0,0.1965139531238892,0.049538303839319224,0.0742771273060582,0.10971363908573241,2022
2023_02_BAL_CIN,00-0036158,RB,BAL,2023,0,0.3076740994971221,0.12594033335500396,0.1243192076694738,0.23460439257976354,2022
2023_02_BAL_CIN,00-0036550,WR,BAL,2023,0,0.16048384417643013,0.08492199137437116,0.15555079581165412,0.10086031319581892,2022
2023_02_BAL_CIN,00-0037838,TE,BAL,2023,0,0.11102116612972956,0.10413928989492462,0.17084824259191533,0.09812511753723333,2022
2023_02_BAL_CIN,00-0038046,TE,BAL,2023,0,0.07020154101935483,0.044151007631978934,0.06155426482383221,0.06821991048987325,2022
2023_02_BAL_CIN,00-0039064,WR,BAL,2023,0,0.44901353276122946,0.3726703960472342,0.5093408955519334,0.27647955709889294,2022
2023_02_BAL_CIN,00-0033009,WR,CIN,2023,0,0.18341797808836058,0.14870498631468607,0.09245961650005705,0.17087271004323165,2022
2023_02_BAL_CIN,00-0033897,RB,CIN,2023,0,0.5403174706315277,0.5441660580572295,0.4023881979460555,0.40335100450387945,2022
2023_02_BAL_CIN,00-0034970,TE,CIN,2023,0,0.2171317156236522,0.10687353287526752,0.1292463887313654,0.17517842248632315,2022
2023_02_BAL_CIN,00-0035100,QB,CIN,2023,0,0.046792307572702585,0.00011894102199218658,0.0024577802684672668,0.05085656701696067,2022
2023_02_BAL_CIN,00-0035291,RB,CIN,2023,0,0.09990576053096467,0.06344763628398727,0.06033184884767113,0.06971152554407002,2022
2023_02_BAL_CIN,00-0036410,WR,CIN,2023,1,0.34248839730090697,0.20585855099037811,0.2201883495791429,0.1570185748830434,2022
2023_02_BAL_CIN,00-0036442,QB,CIN,2023,0,0.12247583944598373,0.08503994673347211,0.11455576262894007,0.07277745701018484,2022
2023_02_BAL_CIN,00-0036857,RB,CIN,2023,0,0.12307413467914596,0.05759143587459364,0.057963606481421445,0.08010612028380601,2022
2023_02_BAL_CIN,00-0036900,WR,CIN,2023,0,0.3983141053004968,0.3497268630619136,0.2941481500237973,0.3861879091570235,2022
2023_02_CHI_TB,00-0033925,RB,CHI,2023,0,0.17280284653626832,0.0961858334269222,0.08858892145425884,0.09328495401450564,2022
2023_02_CHI_TB,00-0034827,WR,CHI,2023,0,0.10792293194382041,0.14346069923787216,0.12442864996364943,0.08549468642708986,2022
2023_02_CHI_TB,00-0036290,TE,CHI,2023,0,0.23472343182050548,0.20579600344096785,0.2987255724768069,0.18332993195058334,2022
2023_02_CHI_TB,00-0036309,WR,CHI,2023,0,0.21481135701271037,0.19121851178544863,0.18622433185291942,0.19004670611054988,2022
2023_02_CHI_TB,00-0036326,WR,CHI,2023,1,0.10783454199821563,0.10221719416466479,0.10995174416606388,0.08318823497582396,2022
2023_02_CHI_TB,00-0036906,RB,CHI,2023,0,0.27623560368405087,0.17396147633280729,0.1517402042905649,0.12404927982498423,2022
2023_02_CHI_TB,00-0036945,QB,CHI,2023,1,0.22839579272535193,0.1368787572611873,0.2458635188471042,0.2440232405311954,2022
2023_02_CHI_TB,00-0038941,WR,CHI,2023,0,0.05842426655110433,0.04804855451017202,0.045230375649154934,0.060079296488378904,2022
2023_02_CHI_TB,00-0039021,RB,CHI,2023,0,0.3030586225357953,0.0791457665484097,0.06383884729041274,0.21007548790201946,2022
2023_02_CHI_TB,00-0031408,WR,TB,2023,1,0.3338210022052407,0.3183769226512451,0.3325645929374179,0.23623374318896917,2022
2023_02_CHI_TB,00-0033921,WR,TB,2023,0,0.23573728426982465,0.23129933590120597,0.17805475152972666,0.22384127185806793,2022
2023_02_CHI_TB,00-0034681,RB,TB,2023,0,0.048559700902174874,0.06159199675552988,0.03427753625716855,0.058407661632364355,2022
2023_02_CHI_TB,00-0034855,QB,TB,2023,0,0.21456734217278317,0.1980080132926638,0.30852254458929135,0.2188725905345186,2022
2023_02_CHI_TB,00-0037256,RB,TB,2023,1,0.37855010151452695,0.48928752215195814,0.27160646634960967,0.3230676263752661,2022
2023_02_CHI_TB,00-0037311,TE,TB,2023,0,0.1303026485413108,0.07900240342572233,0.09232963272192224,0.0755413250602866,2022
2023_02_CHI_TB,00-0037487,WR,TB,2023,0,0.11590560273773853,0.0815765073773427,0.06460349407810376,0.0728772674426431,2022
2023_02_CHI_TB,00-0038129,TE,TB,2023,0,0.16887186387561992,0.19406507930634978,0.24022165976937454,0.11876416577128356,2022
