event_id,player,sportsbook,price,quote_time,captured_at
5ad8135dc2b5f27de0b777acd317855a,Kenneth Walker III,draftkings,-125,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Rashee Rice,draftkings,155,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,J.K. Dobbins,draftkings,180,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Jaylen Waddle,draftkings,195,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Travis Kelce,draftkings,210,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Courtland Sutton,draftkings,235,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Xavier Worthy,draftkings,275,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,RJ Harvey,draftkings,300,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Pat Bryant,draftkings,380,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Evan Engram,draftkings,450,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Kansas City Chiefs D/ST,draftkings,500,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Tyquan Thornton,draftkings,550,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Bo Nix,draftkings,550,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Emmett Johnson,draftkings,550,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Denver Broncos D/ST,draftkings,600,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
5ad8135dc2b5f27de0b777acd317855a,Marvin Mims Jr.,draftkings,650,2026-09-14T17:16:16+00:00,2026-09-14T17:17:18.853929+00:00
